OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;Kvinder;107 år;Fraskilt;2008K1;0
Hele landet;Kvinder;108 år;Fraskilt;2008K1;0
Hele landet;Kvinder;109 år;Fraskilt;2008K1;0
Hele landet;Kvinder;110 år;Fraskilt;2008K1;0
Hele landet;Kvinder;111 år;Fraskilt;2008K1;0
Hele landet;Kvinder;112 år;Fraskilt;2008K1;0
Hele landet;Kvinder;113 år;Fraskilt;2008K1;0
Hele landet;Kvinder;114 år;Fraskilt;2008K1;0
Hele landet;Kvinder;115 år;Fraskilt;2008K1;0
Hele landet;Kvinder;116 år;Fraskilt;2008K1;0
Hele landet;Kvinder;117 år;Fraskilt;2008K1;0
Hele landet;Kvinder;118 år;Fraskilt;2008K1;0
Hele landet;Kvinder;119 år;Fraskilt;2008K1;0
Hele landet;Kvinder;120 år;Fraskilt;2008K1;0
Hele landet;Kvinder;121 år;Fraskilt;2008K1;0
Hele landet;Kvinder;122 år;Fraskilt;2008K1;0
Hele landet;Kvinder;123 år;Fraskilt;2008K1;0
Hele landet;Kvinder;124 år;Fraskilt;2008K1;0
Hele landet;Kvinder;125 år;Fraskilt;2008K1;0
